Published,Weekday(Monday==0),Updated,ID,Version,Title
2026-03-20T17:59:56Z,12,2026-03-20T17:59:56Z,2603.20194,1,'MME-CoF-Pro: Evaluating Reasoning Coherence in Video Generative Models with Text and Visual Hints'
2026-03-20T17:59:54Z,12,2026-03-20T17:59:54Z,2603.20193,1,"'From Masks to Pixels and Meaning: A New Taxonomy, Benchmark, and Metrics for VLM Image Tampering'"
2026-03-20T17:59:46Z,12,2026-03-20T17:59:46Z,2603.20192,1,'LumosX: Relate Any Identities with Their Attributes for Personalized Video Generation'
2026-03-20T17:59:26Z,12,2026-03-20T17:59:26Z,2603.20191,1,'Deterministic Mode Proposals: An Efficient Alternative to Generative Sampling for Ambiguous Segmentation'
2026-03-20T17:59:25Z,12,2026-03-20T17:59:25Z,2603.20190,1,'CoVR-R:Reason-Aware Composed Video Retrieval'
2026-03-20T17:59:18Z,12,2026-03-20T17:59:18Z,2603.20189,1,'MeanFlow Meets Control: Scaling Sampled-Data Control for Swarms'
2026-03-20T17:59:15Z,12,2026-03-20T17:59:15Z,2603.20188,1,'Wildfire Spread Scenarios: Increasing Sample Diversity of Segmentation Diffusion Models with Training-Free Methods'
2026-03-20T17:59:06Z,12,2026-03-20T17:59:06Z,2603.20187,1,'MuSteerNet: Human Reaction Generation from Videos via Observation-Reaction Mutual Steering'
2026-03-20T17:59:03Z,12,2026-03-20T17:59:03Z,2603.20186,1,'Improving Image-to-Image Translation via a Rectified Flow Reformulation'
2026-03-20T17:58:47Z,12,2026-03-20T17:58:47Z,2603.20185,1,'VideoSeek: Long-Horizon Video Agent with Tool-Guided Seeking'
2026-03-20T17:58:38Z,12,2026-03-20T17:58:38Z,2603.20184,1,'Kolmogorov-Arnold causal generative models'
2026-03-20T17:57:26Z,12,2026-03-20T17:57:26Z,2603.20182,1,'IndoorR2X: Indoor Robot-to-Everything Coordination with LLM-Driven Planning'
2026-03-20T17:57:00Z,12,2026-03-20T17:57:00Z,2603.20181,1,'Improving Generalization on Cybersecurity Tasks with Multi-Modal Contrastive Learning'
2026-03-20T17:55:32Z,12,2026-03-20T17:55:32Z,2603.20180,1,'Adaptive Greedy Frame Selection for Long Video Understanding'
2026-03-20T17:55:27Z,12,2026-03-20T17:55:27Z,2603.20179,1,'AI Agents Can Already Autonomously Perform Experimental High Energy Physics'
2026-03-20T17:53:06Z,12,2026-03-20T17:53:06Z,2603.20176,1,'LagerNVS: Latent Geometry for Fully Neural Real-time Novel View Synthesis'
2026-03-20T17:51:07Z,12,2026-03-20T17:51:07Z,2603.20174,1,'TinyML Enhances CubeSat Mission Capabilities'
2026-03-20T17:48:43Z,12,2026-03-20T17:48:43Z,2603.20172,1,'Measuring Faithfulness Depends on How You Measure: Classifier Sensitivity in LLM Chain-of-Thought Evaluation'
2026-03-20T17:46:55Z,12,2026-03-20T17:46:55Z,2603.20170,1,'Learning Dynamic Belief Graphs for Theory-of-mind Reasoning'
2026-03-20T17:46:55Z,12,2026-03-20T17:46:55Z,2603.20169,1,'EgoForge: Goal-Directed Egocentric World Simulator'
2026-03-20T17:40:21Z,12,2026-03-20T17:40:21Z,2603.20164,1,'The Robots Inner Critic: Self-Refinement of Social Behaviors through VLM-based Replanning'
2026-03-20T17:38:23Z,12,2026-03-20T17:38:23Z,2603.20162,1,'Evaluating Evidence Grounding Under User Pressure in Instruction-Tuned Language Models'
2026-03-20T17:37:33Z,12,2026-03-20T17:37:33Z,2603.20161,1,'Semantic Token Clustering for Efficient Uncertainty Quantification in Large Language Models'
2026-03-20T17:29:12Z,12,2026-03-20T17:29:12Z,2603.20155,1,'Beyond Single Tokens: Distilling Discrete Diffusion Models via Discrete MMD'
2026-03-20T17:26:44Z,12,2026-03-20T17:26:44Z,2603.20151,1,'Design-OS: A Specification-Driven Framework for Engineering System Design with a Control-Systems Design Case'
2026-03-20T17:26:19Z,12,2026-03-20T17:26:19Z,2603.20150,1,'HortiMulti: A Multi-Sensor Dataset for Localisation and Mapping in Horticultural Polytunnels'
2026-03-20T17:25:09Z,12,2026-03-20T17:25:09Z,2603.20149,1,'Enhancing Hyperspace Analogue to Language (HAL) Representations via Attention-Based Pooling for Text Classification'
2026-03-20T17:24:46Z,12,2026-03-20T17:24:46Z,2603.20148,1,'Can Large Multimodal Models Inspect Buildings? A Hierarchical Benchmark for Structural Pathology Reasoning'
